deliverydate,shippedqty
2021-10-31,353700.0
2021-11-01,122130.0
2021-11-02,1962555.0
2021-11-03,889230.0
2021-11-04,869944.0
2021-11-05,2743412.0
2021-11-06,3562446.0
2021-11-07,408438.0
2021-11-09,3243803.0
2021-11-10,3567440.0
2021-11-11,3576691.0
2021-11-12,4794674.0
2021-11-13,5013282.0
2021-11-14,49023.0
2021-11-16,5324188.0
2021-11-17,5648753.0
2021-11-18,4642293.0
2021-11-19,4646775.0
2021-11-20,6045468.0
2021-11-21,493968.0
2021-11-24,4886706.0
2021-11-25,5593175.0
2021-11-26,6073431.0
2021-11-28,1707330.0
2021-12-01,680387.0
2021-12-02,1713208.0
2021-12-03,2338423.0
2021-12-04,1940758.0
2021-12-05,928584.0
2021-12-07,2217940.0
2021-12-08,4518694.0
2021-12-09,3655381.0
2021-12-10,5792066.0
2021-12-11,3743667.0
2021-12-12,1735696.0
2021-12-14,3288430.0
2021-12-16,3704787.0
2021-12-17,5378864.0
2021-12-19,253122.0
2021-12-21,5934732.0
2021-12-23,3066174.0
2021-12-24,695780.0
2021-12-25,214398.0
2021-12-26,18372.0
2021-12-28,2556168.0
2021-12-29,5204287.0
2021-12-30,848682.0
2021-12-31,1164628.0
