deliverydate,shippedqty
2021-10-27,2257026.0
2021-10-28,1409342.0
2021-10-31,845214.0
2021-11-01,92966.0
2021-11-02,1607958.0
2021-11-03,1333778.0
2021-11-04,1453260.0
2021-11-05,1240390.0
2021-11-06,2201000.0
2021-11-07,96380.0
2021-11-09,1659832.0
2021-11-11,1336130.0
2021-11-12,1508394.0
2021-11-14,8544.0
2021-11-15,2711514.0
2021-11-16,2647390.0
2021-11-18,2764186.0
2021-11-19,1652866.0
2021-11-20,2356614.0
2021-11-21,527058.0
2021-11-23,2610732.0
2021-11-24,2525184.0
2021-11-28,638724.0
2021-11-30,2544646.0
2021-12-01,292690.0
2021-12-02,760530.0
2021-12-03,767096.0
2021-12-04,645726.0
2021-12-05,434810.0
2021-12-07,1309786.0
2021-12-08,1449912.0
2021-12-09,1272046.0
2021-12-11,1792466.0
2021-12-12,138674.0
2021-12-14,839084.0
2021-12-15,2056834.0
2021-12-16,1512152.0
2021-12-17,2441686.0
2021-12-18,2772844.0
2021-12-19,288620.0
2021-12-22,2555488.0
2021-12-23,1304150.0
2021-12-24,412724.0
2021-12-25,132956.0
2021-12-26,31560.0
2021-12-27,2195944.0
2021-12-28,1048536.0
2021-12-29,1282324.0
2021-12-30,998800.0
2021-12-31,876910.0
